area,Country/Region,Lat,Long,cases
Mohave County,AZ,35.2143346,-113.7632828,45
Navajo County,AZ,35.4019765,-110.1402594,355
Pima County,AZ,32.057499,-111.6660725,685
Pinal County,AZ,32.8162061,-111.2845025,175
Santa Cruz County,AZ,31.5986127,-110.8076084,10
Yavapai County,AZ,34.6463981,-112.4291464,70
Yuma County,AZ,32.6527533,-113.9536466,17
Arkansas County,AR,34.2354138,-91.2891036,2
Ashley County,AR,33.1565939,-91.7538817,11
Baxter County,AR,36.3261815,-92.3813621,4
Benton County,AR,36.2661518,-94.479976,60
Boone County,AR,36.3118662,-93.0175712,3
Bradley County,AR,33.5081368,-92.2236667,7
Calhoun County,AR,33.5020885,-92.539603,0
Carroll County,AR,36.2987495,-93.5003454,2
Chicot County,AR,33.3419551,-91.2891036,7
Clark County,AR,34.0232374,-93.1779659,26
Clay County,AR,36.3492244,-90.3748354,1
Cleburne County,AR,35.4605769,-92.0665197,70
Cleveland County,AR,33.8658007,-92.2236667,8
Columbia County,AR,33.1285176,-93.1779659,3
Conway County,AR,35.2727492,-92.6983868,4
Craighead County,AR,35.8260959,-90.6773046,36
Crawford County,AR,35.5762761,-94.315422,4
Crittenden County,AR,35.3021443,-90.3748354,116
Cross County,AR,35.2998913,-90.8294002,7
Dallas County,AR,34.0346533,-92.6983868,1
Desha County,AR,33.8773585,-91.443469,6
Drew County,AR,33.5156463,-91.7538817,6
Faulkner County,AR,35.1035858,-92.3813621,58
Franklin County,AR,35.5927966,-93.8248241,2
Fulton County,AR,36.3797374,-91.7928402,0
Garland County,AR,34.5559285,-93.1779659,102
Grant County,AR,34.2628015,-92.4208713,10
Greene County,AR,36.1314931,-90.563609,6
Hempstead County,AR,33.6530112,-93.6623239,4
Hot Spring County,AR,34.3393795,-92.9775558,8
Howard County,AR,34.1318213,-94.028678,9
Independence County,AR,35.8174139,-91.5983959,6
Izard County,AR,36.1610924,-91.9099238,2
Jackson County,AR,35.6479574,-91.135302,1
Jefferson County,AR,34.227351,-91.9099238,105
Johnson County,AR,35.6026275,-93.5003454,19
Lafayette County,AR,33.2511695,-93.6217802,3
Lawrence County,AR,35.9969735,-91.135302,11
Lee County,AR,34.7712669,-90.8294002,2
Lincoln County,AR,33.9185116,-91.714958,56
Little River County,AR,33.6808926,-94.19234,0
Logan County,AR,35.2475011,-93.6623239,2
Lonoke County,AR,34.7591647,-91.9099238,29
Madison County,AR,35.9466415,-93.6623239,1
Marion County,AR,36.3194702,-92.6983868,1
Miller County,AR,33.3335556,-93.8655303,28
Mississippi County,AR,35.8279728,-90.0746767,7
Monroe County,AR,34.5918747,-91.135302,2
Montgomery County,AR,34.5424074,-93.6623239,0
Nevada County,AR,33.6621386,-93.3388917,1
Newton County,AR,35.9603994,-93.1779659,1
Ouachita County,AR,33.5828512,-92.9375739,5
Perry County,AR,34.96032,-92.8976254,2
Phillips County,AR,34.4611206,-90.8675134,4
Pike County,AR,34.1876975,-93.6623239,2
Poinsett County,AR,35.6078586,-90.6393702,7
Polk County,AR,34.5268097,-94.1513764,6
Pope County,AR,35.440627,-93.0175712,31
Prairie County,AR,34.7636336,-91.5983959,2
Pulaski County,AR,34.7538615,-92.2236667,297
Randolph County,AR,36.3457918,-90.9820668,8
St. Francis County,AR,34.9926533,-90.7152749,45
Saline County,AR,34.5708215,-92.539603,33
Scott County,AR,34.8854732,-93.9878427,1
Searcy County,AR,35.9721,-92.6983868,6
Sebastian County,AR,35.2260397,-94.315422,11
Sevier County,AR,34.0346222,-94.2743628,8
Sharp County,AR,36.1675974,-91.443469,2
Stone County,AR,35.8075142,-92.2236667,7
Union County,AR,33.1431092,-92.539603,17
Van Buren County,AR,35.6266232,-92.539603,26
Washington County,AR,35.9307703,-94.1513764,43
White County,AR,35.2900612,-91.7538817,28
Woodruff County,AR,35.1215846,-91.135302,1
Yell County,AR,35.0810824,-93.3388917,1
Grand Princess Cruise Ship,CA,34.4189038,-118.5600157,21
Alameda County,CA,37.6016892,-121.7195459,884
Alpine County,CA,38.5940736,-119.8815203,2
Amador County,CA,38.3488921,-120.7740931,7
Butte County,CA,39.6253952,-121.5370003,16
Calaveras County,CA,38.1960477,-120.6805037,9
Colusa County,CA,39.1040645,-122.2653887,3
Contra Costa County,CA,37.8534093,-121.9017954,600
Del Norte County,CA,41.7076287,-123.9659708,2
El Dorado County,CA,38.7426376,-120.4357631,35
Fresno County,CA,36.9858984,-119.2320784,222
Glenn County,CA,39.6437813,-122.4467238,4
Humboldt County,CA,40.7450055,-123.8695086,51
Imperial County,CA,33.0113694,-115.4733554,117
Inyo County,CA,36.3091865,-117.5495846,12
Kern County,CA,35.4937274,-118.8596804,516
Kings County,CA,36.0988489,-119.8815203,13
Lake County,CA,39.0839644,-122.8084496,5
Lassen County,CA,40.5394389,-120.7120023,0
Los Angeles County,CA,34.0522265,-118.2436596,10047
Madera County,CA,37.251926,-119.6962677,33
Marin County,CA,38.083403,-122.7633036,171
Mariposa County,CA,37.4893626,-119.9679294,0
Mendocino County,CA,39.5500194,-123.438353,4
Merced County,CA,37.2009788,-120.7120023,74
Modoc County,CA,41.4565165,-120.629366,0
Mono County,CA,37.9218608,-118.9528645,23
Monterey County,CA,36.3136201,-121.3541631,100
Napa County,CA,38.5024689,-122.2653887,38
Nevada County,CA,39.1346666,-121.1710389,34
Orange County,CA,33.7174708,-117.8311428,1299
Placer County,CA,39.0915751,-120.8039474,128
Plumas County,CA,39.9926832,-120.8039474,4
Riverside County,CA,33.9532966,-117.3961192,1961
Sacramento County,CA,33.9532966,-117.3961192,816
San Benito County,CA,38.47467,-121.3541631,39
San Bernardino County,CA,34.9592083,-116.419389,977
San Diego County,CA,32.7157305,-117.1610966,1930
San Francisco County,CA,37.7749295,-122.4194155,987
San Joaquin County,CA,37.9175935,-121.1710389,335
San Luis Obispo County,CA,35.3102296,-120.4357631,120
San Mateo County,CA,37.4337342,-122.4014193,721
Santa Barbara County,CA,34.4208321,-119.6982057,313
Santa Clara County,CA,37.3336581,-121.8907041,1666
Santa Cruz County,CA,37.0453988,-121.9579578,91
Shasta County,CA,40.7908864,-121.8474493,25
Sierra County,CA,39.5532845,-120.2512728,0
Siskiyou County,CA,41.7743261,-122.5770126,5
Solano County,CA,38.3104969,-121.9017954,140
Sonoma County,CA,38.5779555,-122.9888319,152
Stanislaus County,CA,37.5090711,-120.9876321,163
Sutter County,CA,39.0219764,-121.6739371,24
Tehama County,CA,40.0982197,-122.174605,1
Trinity County,CA,40.6329485,-123.0622553,0
Tulare County,CA,36.1341739,-118.8596804,296
Tuolumne County,CA,38.029655,-119.9740534,2
Ventura County,CA,34.3704884,-119.1390642,350
Yolo County,CA,38.7646021,-121.9017954,102
Yuba County,CA,39.2547027,-121.3998995,15
Adams County,CO,39.8398269,-104.1930918,726
Alamosa County,CO,37.654039,-105.876004,7
Arapahoe County,CO,39.62031,-104.332644,998
Archuleta County,CO,37.1604318,-107.0067031,6
Baca County,CO,37.394731,-102.5298028,10
Bent County,CO,38.0036339,-103.0817903,0
Boulder County,CO,40.1512114,-105.5005483,293
Broomfield County and City,CO,39.9205411,-105.0866504,88
Chaffee County,CO,38.7536679,-106.2522143,28
Cheyenne County,CO,38.8002562,-102.6216211,0
Clear Creek County,CO,39.6904464,-105.6412527,11
Conejos County,CO,37.2689711,-106.2522143,0
Costilla County,CO,37.2049596,-105.5005483,3
Crowley County,CO,38.2498631,-103.8216261,2
Custer County,CO,38.0615578,-105.3131185,2
Delta County,CO,38.8531357,-107.763621,12
Denver County,CO,39.7392358,-104.990251,927
Dolores County,CO,37.7530272,-108.5225709,0
Douglas County,CO,39.2587106,-104.9388853,311
Eagle County,CO,39.576406,-106.7234639,468
Elbert County,CO,39.3537004,-104.1930918,17
El Paso County,CO,38.9108325,-104.4723301,652
Fremont County,CO,38.5306514,-105.5005483,8
Garfield County,CO,39.6584775,-107.763621,59
Gilpin County,CO,39.8770159,-105.4536718,1
Grand County,CO,40.0727382,-106.0640179,4
Gunnison County,CO,38.6437083,-107.0067031,99
Hinsdale County,CO,37.9316309,-107.3848831,3
Huerfano County,CO,37.6125984,-104.9388853,1
Jackson County,CO,40.6819242,-106.2522143,0
Jefferson County,CO,39.5800298,-105.2662931,809
Kiowa County,CO,38.3769671,-102.7135121,0
Kit Carson County,CO,39.3844507,-102.5298028,8
Lake County,CO,39.1941167,-106.2992912,5
La Plata County,CO,37.2125857,-107.763621,44
Larimer County,CO,40.6955572,-105.5943388,198
Las Animas County,CO,37.2994909,-104.1001326,2
Lincoln County,CO,39.0457549,-103.3587288,2
Logan County,CO,40.7056181,-102.989615,13
Mesa County,CO,38.9585381,-108.6175626,35
Mineral County,CO,37.6583677,-107.0067031,2
Moffat County,CO,40.6138379,-108.2377519,3
Montezuma County,CO,37.3257517,-108.6175626,12
Montrose County,CO,38.468304,-108.1428669,63
Morgan County,CO,40.2989226,-103.7289167,89
Otero County,CO,37.9397663,-103.6362715,5
Ouray County,CO,38.2016133,-107.763621,4
Park County,CO,39.0897928,-105.5943388,6
Phillips County,CO,40.5371334,-102.3463875,4
Pitkin County,CO,39.159101,-106.8178377,49
Prowers County,CO,37.8433756,-102.2547919,1
Pueblo County,CO,38.2528534,-104.4723301,64
Rio Blanco County,CO,39.9814297,-108.2377519,1
Rio Grande County,CO,37.5749508,-106.4405872,5
Routt County,CO,40.4771623,-107.1011931,41
Saguache County,CO,38.0019623,-106.3463791,3
San Juan County,CO,37.7573704,-107.71625,0
San Miguel County,CO,37.9781237,-108.1428669,12
Sedgwick County,CO,40.8568843,-102.3463875,0
Summit County,CO,39.5911871,-106.0640179,74
Teller County,CO,38.8611579,-105.1726816,16
Washington County,CO,40.063745,-102.989615,5
Weld County,CO,40.3920718,-104.7158226,858
Yuma County,CO,40.1448234,-102.2547919,2
Fairfield County,CT,41.2559654,-73.3708696,6213
Hartford County,CT,41.7924343,-72.8042797,2370
Litchfield County,CT,41.7866294,-73.2765361,460
Middlesex County,CT,41.4698505,-72.4731529,355
New Haven County,CT,41.3266911,-72.8042797,3543
New London County,CT,41.5185189,-72.0468164,227
Tolland County,CT,41.8418987,-72.3784679,201
Windham County,CT,41.8275622,-72.0468164,87
Kent County,DE,39.1440612,-75.4344727,329
New Castle County,DE,39.5392979,-75.667356,947
Sussex County,DE,38.6530841,-75.4344727,639
Washington,DC,38.9071923,-77.0368707,2058
Alachua County,FL,29.6579549,-82.3017728,195
Baker County,FL,30.3931168,-82.3017728,17
Bay County,FL,30.1805306,-85.684578,38
Bradford County,FL,29.9723818,-82.1713632,31
Brevard County,FL,28.263933,-80.7214417,163
Broward County,FL,26.190096,-80.365865,3261
Calhoun County,FL,30.3475302,-85.1894045,5
Charlotte County,FL,26.8946009,-81.909826,123
Citrus County,FL,28.8848842,-82.5185837,75
Clay County,FL,29.9943564,-81.7787021,168
Collier County,FL,26.069985,-81.4278984,380
Columbia County,FL,30.1812696,-82.605118,28
DeSoto County,FL,27.2142078,-81.7787021,22
Dixie County,FL,29.5207227,-83.1649001,2
Duval County,FL,30.3500511,-81.6035062,718
Escambia County,FL,30.6389408,-87.3413599,247
Flagler County,FL,29.4086072,-81.2518833,45
Franklin County,FL,29.7817695,-84.8567932,2
Gadsden County,FL,30.5562947,-84.6479124,38
Gilchrist County,FL,29.6871128,-82.820974,6
Glades County,FL,26.984415,-81.0754657,5
Gulf County,FL,29.8001623,-85.354965,1
Hamilton County,FL,30.4755958,-82.9501558,2
Hardee County,FL,27.4501733,-81.8224362,3
Hendry County,FL,26.6105319,-81.0754657,23
Hernando County,FL,28.5578826,-82.4752757,71
Highlands County,FL,27.3400286,-81.3400268,62
Hillsborough County,FL,27.9903597,-82.3017728,819
Holmes County,FL,30.8740806,-85.80766,4
Indian River County,FL,27.6947732,-80.543845,77
Jackson County,FL,30.7150882,-85.1894045,6
Jefferson County,FL,30.4311978,-83.8897057,13
Lafayette County,FL,30.0299573,-83.2077645,1
Lake County,FL,28.702847,-81.7787021,169
Lee County,FL,26.6630286,-81.9534815,657
Leon County,FL,30.4906177,-84.1857115,150
Levy County,FL,29.3178545,-82.820974,7
Liberty County,FL,30.1507777,-84.8567932,2
Madison County,FL,30.4586334,-83.5070203,14
Manatee County,FL,27.4799195,-82.345189,261
Marion County,FL,29.2787765,-82.12784,104
Martin County,FL,27.0804935,-80.4103957,135
Miami-Dade County,FL,25.5516034,-80.6326916,7712
Monroe County,FL,24.5557001,-81.7825985,64
Nassau County,FL,30.5927334,-81.8224362,35
Okaloosa County,FL,30.5773401,-86.6611083,104
Okeechobee County,FL,27.3462015,-80.8986502,5
Orange County,FL,28.4844995,-81.2518833,1038
Osceola County,FL,28.1019838,-81.0754657,349
Palm Beach County,FL,26.6514503,-80.2767327,1740
Pasco County,FL,28.3232418,-82.4319405,177
Pinellas County,FL,27.876394,-82.7778579,494
Polk County,FL,27.8617347,-81.6911559,279
Putnam County,FL,29.6265157,-81.7787021,43
St. Johns County,FL,29.9719419,-81.4278984,177
St. Lucie County,FL,27.3225563,-80.543845,165
Santa Rosa County,FL,30.7689907,-86.9824288,114
Sarasota County,FL,27.1995986,-82.345189,241
Seminole County,FL,28.7131688,-81.2078164,275
Sumter County,FL,28.6747526,-82.0842901,113
Suwannee County,FL,30.2485096,-82.9931607,75
Taylor County,FL,30.0993767,-83.6773928,1
Union County,FL,30.0745112,-82.345189,2
Volusia County,FL,29.0279842,-81.0754657,226
Wakulla County,FL,30.1301689,-84.3542049,12
Walton County,FL,30.5640199,-86.1751759,29
Washington County,FL,30.548737,-85.684578,5
Appling County,GA,31.712238,-82.2583297,13
Atkinson County,GA,31.2932161,-82.8640623,2
Bacon County,GA,31.5412085,-82.4319405,14
Baker County,GA,31.2816037,-84.4802606,16
Baldwin County,GA,33.0338083,-83.2934086,69
Banks County,GA,34.378542,-83.4643551,8
Barrow County,GA,34.0142667,-83.6986568,65
Bartow County,GA,34.2660473,-84.8150781,230
Ben Hill County,GA,31.7664035,-83.2077645,10
Berrien County,GA,31.3118535,-83.2077645,8
Bibb County,GA,32.7865735,-83.7199136,91
Bleckley County,GA,32.4087854,-83.3789389,3
Brantley County,GA,31.1510963,-81.9971108,12
Brooks County,GA,30.8730159,-83.5496566,20
Bryan County,GA,32.0236584,-81.4718387,30
Bulloch County,GA,32.3595678,-81.7787021,20
Burke County,GA,33.088805,-81.9534815,28
Butts County,GA,33.2691443,-83.9532571,35
Calhoun County,GA,31.5621777,-84.6479124,54
Camden County,GA,30.898276,-81.6035062,22
Candler County,GA,32.4241804,-82.0842901,4
Carroll County,GA,33.5642239,-85.0649071,235
Catoosa County,GA,34.8981727,-85.1479364,15
Charlton County,GA,30.7917361,-82.0842901,4
Chatham County,GA,31.9994194,-81.1196075,157
Chattahoochee County,GA,32.2952274,-84.8150781,5
Chattooga County,GA,34.4632661,-85.3136218,8
Cherokee County,GA,34.2514526,-84.4802606,219
Clarke County,GA,33.9519347,-83.357567,95
Clay County,GA,31.6447931,-85.0025539,16
Clayton County,GA,33.5571944,-84.375233,435
Clinch County,GA,30.9716985,-82.820974,6
Cobb County,GA,33.8999297,-84.564147,895
Coffee County,GA,31.5182285,-82.820974,64
Colquitt County,GA,31.2072856,-83.8473015,88
Columbia County,GA,33.5098514,-82.2583297,75
Cook County,GA,31.1428037,-83.4643551,7
Coweta County,GA,33.3716708,-84.7315563,135
Crawford County,GA,32.7090798,-83.9744262,9
Crisp County,GA,31.8875724,-83.804868,83
Dade County,GA,34.9109017,-85.4788065,3
Dawson County,GA,34.412912,-84.1435136,36
Decatur County,GA,30.8720058,-84.5222189,46
DeKalb County,GA,33.7956441,-84.2278796,1144
Dodge County,GA,32.1287268,-83.2077645,17
Dooly County,GA,32.1593447,-83.804868,51
Dougherty County,GA,31.5439375,-84.2278796,1297
Douglas County,GA,33.7290225,-84.7315563,189
Early County,GA,31.3901106,-84.8984775,137
Echols County,GA,30.7503289,-82.9501558,2
Effingham County,GA,32.378148,-81.3839326,25
Elbert County,GA,34.0795372,-82.8640623,6
Emanuel County,GA,32.5726629,-82.3017728,9
Evans County,GA,32.1427011,-81.909826,2
Fannin County,GA,34.8580405,-84.2278796,13
Fayette County,GA,33.4502206,-84.4802606,115
Floyd County,GA,34.2828967,-85.2308414,120
Forsyth County,GA,34.2358502,-84.1435136,153
Franklin County,GA,34.3645724,-83.2077645,5
Fulton County,GA,33.8033965,-84.3962535,1812
Gilmer County,GA,34.6935359,-84.4802606,7
Glascock County,GA,33.2422994,-82.6267345,0
Glynn County,GA,31.2624169,-81.6035062,40
Gordon County,GA,34.4891699,-84.8567932,45
Grady County,GA,30.9050079,-84.2278796,21
Greene County,GA,33.5186591,-83.1649001,31
Gwinnett County,GA,33.9190653,-84.0167423,815
Habersham County,GA,34.6478893,-83.5496566,28
Hall County,GA,34.30778,-83.804868,363
Hancock County,GA,33.2882621,-83.0361376,5
Haralson County,GA,33.8021715,-85.1900684,19
Harris County,GA,32.7032697,-84.8567932,23
Hart County,GA,34.3500039,-82.9501558,5
Heard County,GA,33.2990406,-85.1479364,5
Henry County,GA,33.4347963,-84.1435136,306
Houston County,GA,32.4219655,-83.634843,138
Irwin County,GA,31.5893221,-83.2934086,12
Jackson County,GA,34.1174511,-83.5496566,32
Jasper County,GA,33.3246924,-83.7199136,9
Jeff Davis County,GA,31.8234851,-82.605118,1
Jefferson County,GA,33.0740753,-82.4319405,7
Jenkins County,GA,32.7781246,-81.9971108,11
Johnson County,GA,32.7308194,-82.6915429,20
Jones County,GA,33.0002582,-83.5070203,14
Lamar County,GA,33.0765883,-84.1435136,20
Lanier County,GA,31.0291269,-83.0361376,5
Laurens County,GA,32.433014,-82.9931607,35
Lee County,GA,31.8128435,-84.1435136,258
Liberty County,GA,31.842969,-81.4718387,21
Lincoln County,GA,33.7875101,-82.4319405,9
Long County,GA,31.7755541,-81.8224362,2
Lowndes County,GA,30.8600022,-83.2934086,70
Lumpkin County,GA,34.5813972,-83.9744262,11
McDuffie County,GA,33.5258626,-82.5185837,30
McIntosh County,GA,31.4748147,-81.3839326,3
Macon County,GA,32.3523607,-84.059029,47
Madison County,GA,34.0990245,-83.2077645,12
Marion County,GA,32.328102,-84.5222189,17
Meriwether County,GA,33.0561282,-84.6897495,24
Miller County,GA,31.2008218,-84.7315563,15
Mitchell County,GA,31.2230067,-84.1857115,164
Monroe County,GA,32.9746846,-83.8897057,13
Montgomery County,GA,32.1802095,-82.5185837,2
Morgan County,GA,33.5794186,-83.4643551,15
Murray County,GA,34.7928029,-84.7315563,16
Muscogee County,GA,32.4794133,-84.8984775,175
Newton County,GA,33.5544296,-83.8473015,100
Oconee County,GA,33.8231988,-83.4430118,42
Oglethorpe County,GA,33.9119731,-83.0361376,19
Paulding County,GA,33.9142037,-84.8984775,115
Peach County,GA,32.5892926,-83.8260884,24
Pickens County,GA,34.4497166,-84.4592701,13
Pierce County,GA,31.343806,-82.1713632,47
Pike County,GA,33.0881873,-84.3962535,22
Polk County,GA,34.0132398,-85.1479364,25
Pulaski County,GA,32.232644,-83.4643551,11
Putnam County,GA,33.3069978,-83.3789389,12
Quitman County,GA,31.8485969,-84.981754,3
Rabun County,GA,34.9027286,-83.3789389,7
Randolph County,GA,31.7913398,-84.6897495,131
Richmond County,GA,33.3205339,-82.0842901,162
Rockdale County,GA,33.6752492,-84.0378894,106
Schley County,GA,32.2736136,-84.3121264,12
Screven County,GA,32.7074673,-81.6035062,9
Seminole County,GA,30.9331429,-84.8984775,16
Spalding County,GA,33.2636732,-84.3121264,83
Stephens County,GA,34.5458998,-83.2934086,24
Stewart County,GA,32.1141344,-84.8150781,8
Sumter County,GA,31.9981596,-84.2278796,269
Talbot County,GA,32.6891322,-84.5222189,10
Taliaferro County,GA,33.5697878,-82.8855961,0
Tattnall County,GA,32.0634576,-82.0842901,5
Taylor County,GA,32.5407455,-84.2278796,9
Telfair County,GA,31.8907647,-82.9931607,11
Terrell County,GA,31.7370079,-84.4802606,134
Thomas County,GA,30.8417409,-83.8473015,89
Tift County,GA,31.4205597,-83.5496566,71
Toombs County,GA,32.0795072,-82.345189,15
Towns County,GA,34.9208214,-83.7199136,8
Treutlen County,GA,32.3870233,-82.5834947,1
Troup County,GA,33.0698575,-85.023346,68
Turner County,GA,31.6976531,-83.634843,41
Twiggs County,GA,32.68356,-83.4643551,3
Union County,GA,34.8457601,-83.9744262,8
Upson County,GA,32.9047684,-84.3121264,128
Walker County,GA,34.6858231,-85.354965,10
Walton County,GA,33.7708613,-83.7199136,52
Ware County,GA,31.134411,-82.4752757,64
Warren County,GA,33.4470392,-82.6915429,7
Washington County,GA,32.962702,-82.820974,22
Wayne County,GA,31.5092107,-81.909826,6
Webster County,GA,32.0129889,-84.564147,3
Wheeler County,GA,32.0999794,-82.6915429,3
White County,GA,34.6567728,-83.7199136,14
Whitfield County,GA,34.8033566,-84.981754,29
Wilcox County,GA,31.9611759,-83.4643551,28
Wilkes County,GA,33.808264,-82.7778579,8
Wilkinson County,GA,32.8024682,-83.1649001,12
Worth County,GA,31.5282489,-83.8897057,99
Hawaii County,HI,19.5429151,-155.6658568,41
Honolulu County,HI,21.3069857,-157.8584319,358
Kalawao County,HI,21.2273942,-156.9749731,0
Kauai County,HI,21.9661076,-159.5737912,21
Maui County,HI,20.7983626,-156.3319253,88
Ada County,ID,43.478767,-116.2420304,530
Adams County,ID,44.9882561,-116.4916092,1
Bannock County,ID,42.5836362,-112.1430215,5
Bear Lake County,ID,42.228222,-111.2845025,0
Benewah County,ID,47.2437836,-116.6499425,0
Bingham County,ID,43.2112303,-112.3624146,2
Blaine County,ID,43.4743428,-113.9664446,458
Boise County,ID,43.9604787,-115.8563106,0
Bonner County,ID,48.2751783,-116.5931483,4
Bonneville County,ID,43.4508683,-111.5455289,16
Boundary County,ID,48.7987617,-116.5627065,0
Butte County,ID,43.6448198,-113.1841378,0
Camas County,ID,43.5093688,-114.8243665,1
Canyon County,ID,43.6779581,-116.6865435,167
Caribou County,ID,42.7538684,-111.6660725,1
Cassia County,ID,42.358036,-113.5728501,9
Clark County,ID,44.1975553,-112.3755497,0
Clearwater County,ID,46.6775737,-115.5620377,0
Custer County,ID,44.3331898,-114.2614334,2
Elmore County,ID,43.1154284,-115.5264458,18
Franklin County,ID,42.2100342,-111.7614661,0
Fremont County,ID,44.2242743,-111.4790031,2
Gem County,ID,44.0324936,-116.3589245,9
Gooding County,ID,42.9180557,-114.7494346,5
Idaho County,ID,45.9019541,-115.7237433,3
Jefferson County,ID,43.7640903,-112.2493671,4
Jerome County,ID,42.712818,-114.3287857,30
Kootenai County,ID,47.7568407,-116.6222056,45
Latah County,ID,46.7360364,-116.6764195,3
Lemhi County,ID,45.0364592,-113.9230554,0
Lewis County,ID,46.2664791,-116.4054092,0
Lincoln County,ID,43.0496418,-114.1694407,15
Madison County,ID,43.7508332,-111.5583742,5
Minidoka County,ID,42.8409971,-113.5808126,6
Nez Perce County,ID,46.4181814,-116.622876,20
Oneida County,ID,42.2059769,-112.5245093,0
Owyhee County,ID,42.6827359,-116.0622892,4
Payette County,ID,44.0205185,-116.7205398,9
Power County,ID,42.7528492,-112.7684521,2
Shoshone County,ID,47.1746948,-115.9104676,0
Teton County,ID,43.7845793,-111.1917625,6
Twin Falls County,ID,42.335252,-114.6758916,79
Valley County,ID,44.9204669,-115.7926381,2
Washington County,ID,44.3658715,-116.7548607,1
Adams County,IL,40.0577692,-91.135302,27
Alexander County,IL,37.1670164,-89.3606298,0
Bond County,IL,38.902985,-89.4742177,4
Boone County,IL,42.3484976,-88.8263006,13
Brown County,IL,39.9379573,-90.7152749,0
Bureau County,IL,41.3599156,-89.4742177,6
Calhoun County,IL,39.1733216,-90.658333,1
Carroll County,IL,42.0385843,-89.9626799,5
Cass County,IL,39.9398601,-90.2620042,0
Champaign County,IL,40.2138865,-88.2461183,88
Christian County,IL,39.5672183,-89.3226954,24
Clark County,IL,39.3824189,-87.7763333,4
Clay County,IL,38.7279431,-88.556531,1
Clinton County,IL,38.5684442,-89.6251646,38
Coles County,IL,39.5560011,-88.2461183,8
Cook County,IL,41.7376587,-87.697554,16323
Crawford County,IL,39.0499568,-87.7763333,4
Cumberland County,IL,39.2653533,-88.2071598,2
DeKalb County,IL,41.8329981,-88.7108964,35
De Witt County,IL,40.1810363,-88.90306,1
Douglas County,IL,39.7617631,-88.2071598,11
DuPage County,IL,41.8243831,-88.0900762,1312
Edgar County,IL,39.7131223,-87.7763333,0
Edwards County,IL,38.4267827,-88.050979,0
Effingham County,IL,39.0621773,-88.556531,3
Fayette County,IL,39.0669568,-89.0179332,12
Ford County,IL,40.4988592,-88.2071598,4
Franklin County,IL,38.0157197,-88.90306,4
Fulton County,IL,40.5531823,-90.2244662,1
Gallatin County,IL,37.7107751,-88.2461183,2
Greene County,IL,39.4029862,-90.3748354,1
Grundy County,IL,41.3500531,-88.4016041,24
Hamilton County,IL,38.0543187,-88.556531,0
Hancock County,IL,40.3849365,-91.135302,1
Hardin County,IL,37.4995097,-88.362785,0
Henderson County,IL,40.8335548,-90.9438468,0
Henry County,IL,41.361088,-90.0746767,23
Iroquois County,IL,40.7740275,-87.697554,9
Jackson County,IL,37.7218304,-89.3226954,35
Jasper County,IL,39.0554965,-88.0900762,3
Jefferson County,IL,38.2267348,-88.864698,8
Jersey County,IL,39.0704754,-90.3748354,6
Jo Daviess County,IL,42.3148804,-90.2244662,11
Johnson County,IL,37.4203764,-88.90306,1
Kane County,IL,41.987884,-88.4016041,448
Kankakee County,IL,41.1790977,-87.7763333,220
Kendall County,IL,41.5507043,-88.4403883,114
Knox County,IL,40.8776411,-90.2244662,2
Lake County,IL,42.3689363,-87.8271534,1621
LaSalle County,IL,41.4363987,-88.9413865,23
Lawrence County,IL,38.7157534,-87.7763333,2
Lee County,IL,41.6789842,-89.3226954,13
Livingston County,IL,40.8688604,-88.556531,17
Logan County,IL,40.061338,-89.3226954,4
McDonough County,IL,40.3885122,-90.6773046,2
McHenry County,IL,42.3039993,-88.4016041,257
McLean County,IL,40.5478429,-88.864698,81
Macon County,IL,39.8949055,-89.0179332,45
Macoupin County,IL,39.2375268,-89.9253233,16
Madison County,IL,38.9041402,-89.9253233,128
Marion County,IL,38.7313284,-88.864698,14
Marshall County,IL,40.9972934,-89.3606298,2
Mason County,IL,40.2271003,-89.9253233,3
Massac County,IL,37.2478298,-88.7493998,3
Menard County,IL,40.0221361,-89.8130356,2
Mercer County,IL,41.1985037,-90.6773046,3
Monroe County,IL,38.2742526,-90.1869644,47
Montgomery County,IL,39.2363688,-89.4742177,9
Morgan County,IL,39.7341219,-90.2244662,11
Moultrie County,IL,39.6020543,-88.5951751,2
Ogle County,IL,41.9969811,-89.3226954,26
Peoria County,IL,40.7156396,-89.7755338,31
Perry County,IL,38.0612022,-89.3226954,1
Piatt County,IL,40.0543526,-88.556531,6
Pike County,IL,39.5662363,-90.8294002,1
Pope County,IL,37.417132,-88.5951751,0
Pulaski County,IL,37.2512419,-89.1324866,5
Putnam County,IL,41.238474,-89.2847251,0
Randolph County,IL,38.0629321,-89.7755338,41
Richland County,IL,38.7212791,-88.0900762,1
Rock Island County,IL,41.3998209,-90.563609,113
St. Clair County,IL,38.400812,-89.9253233,220
Saline County,IL,37.7149675,-88.556531,3
Sangamon County,IL,39.7337353,-89.6251646,50
Schuyler County,IL,40.1844543,-90.6393702,1
Scott County,IL,39.6094934,-90.4879916,0
Shelby County,IL,39.3980704,-88.864698,4
Stark County,IL,41.0795661,-89.8130356,1
Stephenson County,IL,42.314489,-89.6251646,9
Tazewell County,IL,40.5522078,-89.4742177,21
Union County,IL,37.5086525,-89.2847251,0
Vermilion County,IL,40.122469,-87.697554,8
Wabash County,IL,38.4226484,-87.8156715,2
Warren County,IL,40.8758777,-90.6773046,2
